Company;Model;Date;User;Rating;Usage;Review
ISUZU;DMax;19 Dec 2020;Sunil Choudhary;4.0; Daily Commute | Occasional Commute;Nice car in dast lock in the bast car in good menten a good pickup and good drive and good more condisan
ISUZU;DMax;9 Apr 2020;Riyas Rx;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;he is look like my brother he is alsoo good product i love it
ISUZU;DMax;1 Feb 2020;Kanwardeep S..;1.0; Daily Commute | Occasional Commute | Family Car | Tours ;very good car very good mileage good looking good performance
ISUZU;DMax;1 Dec 2018;Prabh Deol;3.7; Daily Commute ;Maintenance costly and modification is so costly too
