Company;Model;Date;User;Rating;Usage;Review
MercedesBenz;GLC;31 Aug 2020;Shayan Kumar;4.7; Daily Commute | Occasional Commute;The best in my garage and also my favourite one. Great specs and details and the interior is just awesome.
MercedesBenz;GLC;9 Sep 2020;Karan Veer;3.5; Daily Commute | Occasional Commute;Car lacks in features there are cars in the market in the same range which has more features than this.
