Company;Model;Date;User;Rating;Usage;Review
Mahindra;NuvoSport;11 Jul 2019;Sai Veeru;5.0; Occasional Commute | Family Car | Tours ;Unfortunately this car didn't sell very well because it was compared to it's predecessor Quanto which was a totally different product except for the similarity in looks from the rear.
Mahindra;NuvoSport;2 Nov 2020;Sumit Thacker;4.3; Tours;model look not betar, other wish good car
Mahindra;NuvoSport;12 Feb 2020;Prema Ram;4.0; Family Car ;great space and comfort for long travel
Mahindra;NuvoSport;31 Jul 2019;PRITHVI;4.7; Family Car ;It is well a nice car to buy it is 7 seater car and gives a sporty look
Mahindra;NuvoSport;21 Mar 2019;Pratap Singh;4.7; Daily Commute | Family Car | Tours ;Its very comfortable SUV , great for long tours and for cities also.
Mahindra;NuvoSport;20 Feb 2019;MK;4.0; Occasional Commute ;performance and mileage is excellent and also headroom is very good
Mahindra;NuvoSport;15 Feb 2019;Rajinder Sharma;5.0; Occasional Commute ;Good car, but not sold to much. Even though I love
