Company;Model;Date;User;Rating;Usage;Review
Bentley;FlyingSpur;3 Oct 2020;Naresh Vadla..;4.7; Daily Commute | Occasional Commute;Very nice driving dynamics , you can instatly feel when you apply the throtel .Sports car with luxary
Bentley;FlyingSpur;28 Dec 2019;Uday Kumar;5.0; Daily Commute ;nothing to say it is good and excellent 👍
Bentley;FlyingSpur;15 Aug 2020;Pandi Durai;5.0; Tours;Nothing no problem please next review
Bentley;FlyingSpur;8 Jan 2020;Jo;4.3; Family Car | Occasional Commute | Daily Commute | Tours ;Flying spur latest luxury 4 door from Bentley v12 engine with 600 horses.You can customise the interior hand spun seats ,great finish,adequate ground clearance buy for 4.5 cr ex showroom,you get an excellent sedan beefed up with a sporty engine and 8 speed transmission value for the buck.
