Company;Model;Date;User;Rating;Usage;Review
MercedesBenz;AMGGT;22 Jul 2020;Vishal Shah;4.7; Family Car | Daily Commute | Tours ;Best ever super Cars About Speed About Comfort Best in all
MercedesBenz;AMGGT;8 Dec 2019;Latest Music;5.0; Family Car ;comfort for the family and even safety
MercedesBenz;AMGGT;22 Jan 2020;Jo;4.3; Occasional Commute | Tours ;Grand tourer AMG from merc..v12 engine near 600 horse power a two seater is a great competitor used as a safety car in circuits.
MercedesBenz;AMGGT;7 Jun 2019;KARABI KOLEY;4.7; Occasional Commute | Tours;GOOD CAR BUT TRY TO smooth CONTROL
