Company;Model;Date;User;Rating;Usage;Review
Nissan;Teana;30 Nov 2019;Suresh Nair;3.0; Occasional Commute ;It is too costly and not for daily use
Nissan;Teana;19 Mar 2019;Thila Subram..;5.0; Family Car ;Smooth and speed and I like so much
