Company;Model;Date;User;Rating;Usage;Review
Jaguar;XJ;13 Oct 2019;Aniruddh Sha..;4.7; Family Car ;Absolutely stunning. Best car to own. Has a lot of power and oomph.
Jaguar;XJ;19 Oct 2019;Raja Ramacha..;4.7; Family Car ;superb car stylistic, comfortable,
Jaguar;XJ;9 Sep 2019;TANUJ PATEL;5.0; Family Car;Nice space and mileage. . .
Jaguar;XJ;19 Jul 2019;Rekha RP;5.0; Family Car;It is nice car
Jaguar;XJ;9 Mar 2019;Jack Maeshock;5.0; Daily Commute ;I love jaguar xj
