Company;Model;Date;User;Rating;Usage;Review
Tata;TiagoJTP;20 Sep 2020;Jithesh Padi..;3.0; Family Car ;Very good performance and good mileage good features and more options in the same rate.tata tiago is our indian car
Tata;TiagoJTP;22 Apr 2020;Rahul Nilesh;4.7; Daily Commute ;Fun to drive, we need more cars like this
