Company;Model;Date;User;Rating;Usage;Review
Tata;YodhaPickup;10 Nov 2020;Ravikumar Kumar;2.0; Daily Commute ;My new tata yodha vehicle is break failed today the service team is telling to many compliant coming brake failure issues they was fixing air pressure pipe with feviquick
Tata;YodhaPickup;7 Aug 2020;Jo;5.0; Daily Commute;brilliant pick up..premium...see the interior a/cgood a/c good riding position....large leafs 16!!!descent price too...great loading capacity and ground clearance....
Tata;YodhaPickup;30 Jul 2020;Gautam Kochar;4.0; Daily Commute | Occasional Commute;Good brand good car. Good build car and low maintenance costs. Proper space and good pick up. Tata is best.
Tata;YodhaPickup;30 Sep 2020;Robert Leo;5.0; Occasional Commute;It is very useful to me and brings me change of my life .
Tata;YodhaPickup;20 Jun 2020;Protush Das;4.7; Daily Commute;most safest car and loading capacity is good
