Company;Model;Date;User;Rating;Usage;Review
MercedesBenz;GLS;27 Jun 2020;Mohit Sharma;5.0; Occasional Commute;Best car ever low maintenance cost .good in mileage good in comfort best budget car in this price range
MercedesBenz;GLS;3 Sep 2020;Aatish hari;4.0; Family Car | Occasional Commute | Daily Commute | Tours ;Cool car. Good performance and good omfort too. Very capable off-roading.
